group,english,russian
Colors,red,красный
Colors,blue,синий
Colors,green,зелёный
Colors,yellow,жёлтый
Colors,black,чёрный
Colors,white,белый
Colors,purple,фиолетовый
Colors,brown,коричневый
Colors,grey,серый
Colors,orange,оранжевый
Months,January,январь
Months,February,февраль
Months,March,март
Months,April,апрель
Months,May,май
Months,June,июнь
Months,July,июль
Months,August,август
Months,September,сентябрь
Months,October,октябрь
Months,November,ноябрь
Months,December,декабрь
Animals,bird,птица
Animals,horse,лошадь
Animals,fish,рыба
Animals,mouse,мышь
Animals,bear,медведь
Animals,wolf,волк
Animals,rabbit,кролик
Animals,fox,лиса
Animals,cat,кошка
Animals,dog,собака
